parm,est_math,se_math
female,-.0369272508970911,.0023030495420047
black,-.198132152933287,.0116129490434391
white,-.0061220592341663,.0132856280783724
hispanic,-.1384988960856355,.0100579216953096
asian,.2505140401130975,.0159616624215742
poverty,.0210241504014366,.0030587944355995
el,-.1128956746668853,.0051563534085638
eng_home,-.0915469653459462,.0051657639479495
lag_math,.5341127022535194,.0050663017048333
lag_ela,.2088900235844491,.003270947646762
peer_q,-.120745142060832,.0132293349557811
magnet_female,-.0217359986603497,.011057321235068
magnet_black,.0621843515999723,.0288837039746592
magnet_white,-.0048391219513953,.0295804872563801
magnet_hispanic,.0101823705692753,.0244948273520617
magnet_asian,-.0926754633257911,.0370507623684961
magnet_poverty,-.0112607601716448,.0132743339086951
magnet_el,.0645722610679429,.014999886328962
magnet_eng_home,.0237410094944995,.0153389749113017
magnet_median_income,-.0059332304863523,.0029151764956581
magnet_lag_math,-.0305679778633241,.0121405679517199
magnet_lag_ela,.0239894314503902,.0100593855931234
magnet_peer_q,.0260345599529436,.0206452947417096
mu_theta,.0250337564258,.0026085402078837
theta_magnet,-.0702656251309906,.0095286360433311
