parm,est_math,se_math
female,-.0189168430934068,.0019876167143894
black,-.2150845968301297,.011049834468925
white,-.0065641158763095,.0115890943216532
hispanic,-.1536208026053562,.0096488102207446
asian,.2116458678012985,.0141083124757341
poverty,.0084297476455923,.0028193551151986
el,-.1147991960367484,.0044248755017165
eng_home,-.0853938804369884,.0039418134591318
lag_math,.5235832830716123,.0042275306615684
lag_ela,.2014307313664629,.0030044534206138
peer_q,-.1432395365698027,.0123996106096567
magnet_female,-.0138521874377798,.0071253497668636
magnet_black,.0456719992000942,.022367302939309
magnet_white,-.030972272653733,.0216466503113996
magnet_hispanic,-.0031616146856516,.0202932389494603
magnet_asian,-.0663574709324925,.0260444423678264
magnet_poverty,-.0081236483752774,.0096297425022432
magnet_el,.0559545083021293,.0131931516964013
magnet_eng_home,.0237792809853278,.0118545199108101
magnet_median_income,-.0065738331151994,.0023463504583643
magnet_lag_math,-.033640687725106,.0091157459229129
magnet_lag_ela,.0255243439619359,.0068834140319887
magnet_peer_q,.034614267500631,.0186871999269613
mu_theta,.0456288625269907,.0038565567718007
theta_magnet,-.1068714107131169,.0105030798137819
