parm,est_math,se_math
female,-.0370687651363759,.0023036969593047
black,-.1975554336545098,.0116116927423607
white,-.0053373152687395,.0132734021454795
hispanic,-.1393630304055624,.0100676669138234
asian,.2505898838743693,.0159644216718099
poverty,.0207401959403471,.0030601827993785
el,-.1129890325430341,.0051623122753877
eng_home,-.0911404711943807,.0051662096699781
lag_math,.5345001086503491,.0050720732992612
lag_ela,.2094777240506162,.003277129385117
peer_q,-.1201205850957499,.0132130844240529
magnet_female,-.0192995604836602,.0110385460278711
magnet_black,.063809494432967,.0292635923219646
magnet_white,-.0073449846367878,.0304842085736396
magnet_hispanic,.0093944746394452,.0249627294955451
magnet_asian,-.0908329109564661,.0381811701521181
magnet_poverty,-.0131973998281604,.0133377049668541
magnet_el,.0689238528965777,.0153069789747861
magnet_eng_home,.0216912001516803,.0152635963451326
magnet_median_income,-.0074700422070369,.0028324048056325
magnet_lag_math,-.0328587755241914,.01230036741945
magnet_lag_ela,.0235682305950184,.0097251199002307
magnet_peer_q,.0341318682719099,.0200164762016965
mu_theta,.0091021897345798,.00134741158129
theta_magnet,-.0275430833129306,.0043846710231895
