parm,est_math,se_math
female,-.0190038973517808,.0019897504518346
black,-.2154378591311078,.0110513467176025
white,-.0052069074572527,.0116030539813783
hispanic,-.1528219473127957,.0096613931166744
asian,.2132534663309515,.0141782453119508
poverty,.0082967465197681,.0028271871635237
el,-.1137539342647506,.0044372676986881
eng_home,-.084924250837924,.0039504536979523
lag_math,.5233993287098029,.0042375321336207
lag_ela,.2011366038537982,.0030112973234347
peer_q,-.1444451190987083,.0123699392940719
magnet_female,-.0134874536148635,.0071704778239291
magnet_black,.0544267402129745,.0221940894167464
magnet_white,-.0467973675527143,.0226422880966983
magnet_hispanic,-.0101386433512911,.0206858568999595
magnet_asian,-.0747517257598529,.026727835906767
magnet_poverty,-.0065043322331463,.0095959365100401
magnet_el,.043097122190826,.0134303576564355
magnet_eng_home,.0225726473277051,.0119209872679328
magnet_median_income,-.0089700845764341,.0023045472356201
magnet_lag_math,-.032579812014657,.009094402298911
magnet_lag_ela,.0329594455384413,.0070846194321877
magnet_peer_q,.0689061194453399,.018644002440539
mu_theta,-.0748570259810608,.187128660219053
theta_magnet,-.3501426168771865,.317173992988628
