parm,est_ela,se_ela
female,.1165956586304123,.001989776655978
black,-.182478745661435,.0100927057372092
white,.000176330086689,.0089455807715119
hispanic,-.1217992767096523,.0081876601556655
asian,.0775347253046701,.0098167360316367
poverty,.000283927514089,.0024229577810224
el,-.2057441727740553,.0037532361688521
eng_home,-.0753862779209506,.0038915456058785
lag_math,.1832678722365242,.0024790893540949
lag_ela,.5755493292459524,.0030143464604411
peer_q,-.0923706311626389,.0093876815536026
magnet_female,-.0040319818328925,.0062113649599607
magnet_black,.0502097611975263,.0212881470066058
magnet_white,-.0436458398363973,.0225787675462719
magnet_hispanic,.0092007545251793,.0196588793615824
magnet_asian,-.0567246475855434,.0234896365201637
magnet_poverty,-.0007393682194527,.0070073826502458
magnet_el,.0197154690002817,.0150941226494083
magnet_eng_home,.0597333583700461,.0106653501502754
magnet_median_income,-.008692717744429,.0019680942119187
magnet_lag_math,-.0223351765840616,.0059113687796586
magnet_lag_ela,.007171057265737,.0080744197946937
magnet_peer_q,.0514003142324822,.0137655785163313
mu_theta,-.0883798151264708,.1626997820502455
theta_magnet,.0466245336345316,.2767685543554386
