parm,est_ela,se_ela
female,.1139860514029147,.0025751528829071
black,-.1683834562181598,.0113018249599654
white,-.01434146911508,.010161962702193
hispanic,-.1158236736552966,.0090531618532207
asian,.0650360526846472,.0117540520698372
poverty,.0103550756455782,.002718602590912
el,-.1960382119064666,.0042675677341689
eng_home,-.0871848392668467,.0052126467515591
lag_math,.1806603270663629,.0029958568368359
lag_ela,.5836364461971836,.0030866609853201
peer_q,-.0693116149747031,.0104134222401983
magnet_female,.0015873026406176,.0093431553272466
magnet_black,.0324044911072355,.0262821116254574
magnet_white,-.0043695717512265,.028567436692395
magnet_hispanic,.0108703813372554,.0225158354739212
magnet_asian,-.056547652523213,.0322597159280158
magnet_poverty,-.0019396017872977,.0097429391205422
magnet_el,.032263265158821,.0174497191491165
magnet_eng_home,.0568319382020081,.0132672127012764
magnet_median_income,-.004956075580694,.0025778913281289
magnet_lag_math,-.0378786812753541,.0078842822359182
magnet_lag_ela,.0048197537860408,.0095167533462272
magnet_peer_q,.0224982139777798,.0155457501210565
mu_theta,.0118622659036663,.0012337197262776
theta_magnet,-.0284214923512672,.0034867998673875
