parm,est_math,se_math
female,-.0368933813650978,.002302391320485
black,-.1982245072442292,.0116221022699075
white,-.0060529038026841,.0132878065381964
hispanic,-.1388218914983184,.0100587499147729
asian,.2500204444475476,.0159550363447078
poverty,.0210053404455092,.0030573007249862
el,-.1129791047837659,.0051576295188072
eng_home,-.0914506393594211,.005166831532088
lag_math,.5342586475500266,.0050683378641869
lag_ela,.2089687366322232,.0032726686107092
peer_q,-.1208332061722683,.0132337491301069
magnet_female,-.0222790425937923,.0110412321126483
magnet_black,.0631935486950432,.0289258035501724
magnet_white,-.0051040425935406,.0295834743526246
magnet_hispanic,.0142098515578207,.0246234851528642
magnet_asian,-.0901298105362938,.0370724936538598
magnet_poverty,-.0116069187769261,.0132189818986153
magnet_el,.0697913285418861,.0152049088427618
magnet_eng_home,.0231140416281125,.0153615135735358
magnet_median_income,-.0055470091925821,.0029212306479163
magnet_lag_math,-.032817578978658,.0122708601506008
magnet_lag_ela,.0220354863338198,.0100574675429679
magnet_peer_q,.0243656350623391,.0206963289417153
mu_theta,.0206660917343405,.0023331910848175
theta_magnet,-.0633331932146071,.0090839210995045
