parm,est_math,se_math
female,-.0369373747320365,.0023082539963417
black,-.1973833995215922,.0116045025605894
white,-.0040192473893328,.0132686708522125
hispanic,-.1379459630646507,.0100750871418382
asian,.2523540595202426,.0160171480077579
poverty,.020724520405825,.0030632735557042
el,-.1125926684538063,.0051651600912388
eng_home,-.0910959862479842,.0051747660938787
lag_math,.5342639240041546,.0050711530742896
lag_ela,.209089965250349,.0032730329255921
peer_q,-.1206965006092244,.0131477930814891
magnet_female,-.0214275872963911,.0111041403088636
magnet_black,.0644430803814741,.0295916674957177
magnet_white,-.0287918785376184,.0302310150969402
magnet_hispanic,-.0020115304830297,.0249949385723606
magnet_asian,-.1050732369369374,.0381892275346794
magnet_poverty,-.0075905188742403,.0131949328191968
magnet_el,.057051265716507,.0152510603993479
magnet_eng_home,.0224069172692809,.0153665440998439
magnet_median_income,-.0084347926210153,.0028431179874512
magnet_lag_math,-.0296798084402636,.0120883198316726
magnet_lag_ela,.0328746949971113,.0100567946424408
magnet_peer_q,.0609456413568073,.0197650103818166
mu_theta,.0165466165731235,.0106513202200072
theta_magnet,-.0488860438676753,.0189981258829425
