parm,est_ela,se_ela
female,.1165783441014837,.001989394491407
black,-.1825750827603184,.0100942383512282
white,-.0012761035997912,.0089265125023378
hispanic,-.123511511134687,.0081543568148411
asian,.0756587070596119,.0097629409656736
poverty,.0004755190375571,.0024154039082207
el,-.2063956478627672,.0037423419770048
eng_home,-.075677336262944,.003881986011629
lag_math,.1836037394623869,.0024754599923869
lag_ela,.5760624612496683,.003010605733941
peer_q,-.0903317888077599,.0094493666753703
magnet_female,-.003730344665936,.0061641578797475
magnet_black,.0447594453113067,.0208277094800623
magnet_white,-.0301526706285489,.0217603149664519
magnet_hispanic,.0194064840662939,.0191518935988112
magnet_asian,-.0502789264994519,.0229441937447449
magnet_poverty,-.0023602909880974,.0070210492679469
magnet_el,.0298694556432511,.0144273790938093
magnet_eng_home,.0602348674633659,.0107598196154846
magnet_median_income,-.0062718021280168,.0019849373185316
magnet_lag_math,-.0246897534322021,.0058932996053002
magnet_lag_ela,-.0005135863482171,.0079985996938029
magnet_peer_q,.0209643302245207,.0140412816010996
mu_theta,.0358081875955404,.0029366648713047
theta_magnet,-.0807687576039104,.0071653181894097
