parm,est_ela,se_ela
female,.1141702588513423,.002574323402369
black,-.1691397542300104,.0112695302074665
white,-.0150527272718227,.0101318688387767
hispanic,-.1145896830025321,.0090319002582787
asian,.0651131838149427,.0117226283124351
poverty,.0106721809353044,.0027152165096612
el,-.1958726437582567,.0042685992798175
eng_home,-.0876457687204556,.0052048423279359
lag_math,.1801519284493462,.0029893469883507
lag_ela,.5828964575993075,.0030793012568758
peer_q,-.0701029657528673,.0104019339465644
magnet_female,-.0005745161571549,.0093795249235876
magnet_black,.0316360656295879,.0259485237266613
magnet_white,-.0045274070144719,.0275768837788185
magnet_hispanic,.0099330276782757,.0218333834978164
magnet_asian,-.0594568293851107,.0315838600152379
magnet_poverty,.0002396898417794,.0095758797551769
magnet_el,.0274140950066878,.0171980413967929
magnet_eng_home,.0586166464298608,.0133144261088081
magnet_median_income,-.0038715876287411,.0026575741296844
magnet_lag_math,-.0354987486147946,.0078793990133725
magnet_lag_ela,.0065342893505924,.0094074146552876
magnet_peer_q,.019518164188426,.0161594094410192
mu_theta,.0296085171830339,.0024508014884162
theta_magnet,-.0651977058973436,.0074572168937278
