parm,est_ela,se_ela
female,.1142100747069807,.0025738972776137
black,-.1693019229584477,.0112797010828619
white,-.015000966013988,.01013954564054
hispanic,-.1150224063668553,.0090286834542454
asian,.06444537278691,.0117368928979456
poverty,.0106624578695082,.0027145366957367
el,-.1959886945954833,.0042662006748891
eng_home,-.0875434585078304,.0052066848105248
lag_math,.1803263187346352,.0029909661762998
lag_ela,.5829900288642473,.0030816564046953
peer_q,-.0701563569617607,.010409286000396
magnet_female,-.0010370189888078,.0093600052164432
magnet_black,.0324858341029553,.0259649912328973
magnet_white,-.0045277128781939,.0274878905835762
magnet_hispanic,.0134356693135173,.0217724023738757
magnet_asian,-.0570103859165845,.0316588240143689
magnet_poverty,-.0000815102808047,.0095877089249528
magnet_el,.0316909254638523,.0173026298650732
magnet_eng_home,.0581169374430829,.0133084477884506
magnet_median_income,-.0035325811156579,.002661078451081
magnet_lag_math,-.0373553922909678,.0078755621533448
magnet_lag_ela,.0048285468576586,.0096224046687975
magnet_peer_q,.0177992247457963,.0161138076124753
mu_theta,.0254979433403352,.0021877593896886
theta_magnet,-.0595135387727249,.0072499686920405
