parm,est_ela,se_ela
female,.1166896585758116,.0019892487065656
black,-.1821558905225085,.0100691606612001
white,-.0011556023356814,.0089234596780858
hispanic,-.1226566147704561,.0081466914358339
asian,.075856295699017,.0097421004392641
poverty,.0004110984710939,.0024171809376402
el,-.2068431491481421,.0037358220167761
eng_home,-.0759116338112135,.0038813157776556
lag_math,.1834709186438129,.0024693882864397
lag_ela,.5758826624368015,.0030045811640254
peer_q,-.0907966807437178,.0094154400615231
magnet_female,-.0042919742394764,.0061756700621748
magnet_black,.043471323888497,.0207524002842749
magnet_white,-.0308292648461742,.0216762377099469
magnet_hispanic,.0151423454754842,.0189890642589228
magnet_asian,-.0496278885049196,.0227645648939696
magnet_poverty,-.0020194376568079,.0070188443636572
magnet_el,.0304156286266566,.0144304803443931
magnet_eng_home,.0608255581363497,.0107354255947259
magnet_median_income,-.006674060896161,.0019888882287388
magnet_lag_math,-.0231967290524871,.0059265663277597
magnet_lag_ela,.0011080815705643,.0079477629245617
magnet_peer_q,.0235792091713117,.0139749985882554
mu_theta,.0499378398058293,.0034261144472845
theta_magnet,-.0984010328096065,.008455512404144
