parm,est_math,se_math
female,-.0190180676043233,.001988140698982
black,-.2154419316266643,.0110646860049692
white,-.0066238578567241,.0115785858747775
hispanic,-.1542624020569917,.0096528771417068
asian,.2116372616768343,.014107090895363
poverty,.0084813208320252,.0028176183934743
el,-.1143538301213369,.0044320383382335
eng_home,-.0851548648897752,.0039437389514143
lag_math,.5236750437159473,.004235700796169
lag_ela,.2015462844596964,.003010263680011
peer_q,-.143056438153315,.0124077378393838
magnet_female,-.0131778722018276,.0071045687606069
magnet_black,.0471265686626352,.0223248079672844
magnet_white,-.02997155972797,.021755346216915
magnet_hispanic,.001944140934153,.0203778706638565
magnet_asian,-.0673349235556127,.0261560660782531
magnet_poverty,-.0085283294236817,.0096266960631791
magnet_el,.0554683535045531,.0131728503749412
magnet_eng_home,.0231370459034195,.0118867166906114
magnet_median_income,-.0060863580549836,.0023398292224367
magnet_lag_math,-.0354768308903348,.0091190084855741
magnet_lag_ela,.0235082207075461,.0068322704884326
magnet_peer_q,.031382941526721,.0188561217582879
mu_theta,.0296525413631134,.0034612264218051
theta_magnet,-.0869184943041127,.0092401114750408
