parm,est_ela,se_ela
female,.1140428628586699,.0025745105945468
black,-.1681631969433689,.0112924570368472
white,-.0144509147906419,.0101544297723725
hispanic,-.1157283879313751,.0090483696556183
asian,.0652374592016098,.0117420995446578
poverty,.0102879589951212,.0027204600370196
el,-.1959262219451221,.0042708867827247
eng_home,-.087026957019834,.0052147276621329
lag_math,.1806384098270493,.0029960288073592
lag_ela,.5834901917969029,.0030849486273265
peer_q,-.0693464243475952,.0104081947353112
magnet_female,.0002427392380548,.0093700061353643
magnet_black,.0299100636187572,.0263535879997295
magnet_white,-.0055638359858801,.0284824880098583
magnet_hispanic,.0107064560339334,.0224917773797008
magnet_asian,-.0583968676690845,.0321443625734603
magnet_poverty,.0000833596839162,.0096874947467478
magnet_el,.0278055347182691,.0174034338860031
magnet_eng_home,.0552159750879852,.0133153571213437
magnet_median_income,-.0049048740459693,.0025878847821163
magnet_lag_math,-.036510280616751,.0078869964189006
magnet_lag_ela,.0063982707674211,.0094156092914071
magnet_peer_q,.0236964650484939,.0154924474426075
mu_theta,.0124111094525918,.0012355949864025
theta_magnet,-.0277582883877689,.0033670573387315
